gene,go
MSTRG.10125.1.p1,GO:0022857
MSTRG.10125.1.p1,GO:0055085
MSTRG.10128.1.p1,GO:0008168
MSTRG.10128.1.p1,GO:0006412
MSTRG.1013.2.p1,GO:0005515
MSTRG.1013.2.p1,GO:0018024
MSTRG.1013.2.p1,GO:0006338
MSTRG.1013.2.p1,GO:0070734
MSTRG.10131.1.p1,GO:0006464
MSTRG.10131.1.p1,GO:0015031
MSTRG.10133.1.p1,GO:0019903
MSTRG.10133.1.p1,GO:0043666
MSTRG.10140.1.p1,GO:0008237
MSTRG.10140.1.p1,GO:0008270
MSTRG.10140.1.p1,GO:0006508
MSTRG.10144.1.p1,GO:0008374
MSTRG.10144.1.p1,GO:0006629
MSTRG.10145.1.p1,GO:0005096
MSTRG.10145.1.p1,GO:0016192
MSTRG.10145.1.p1,GO:0043547
MSTRG.10149.1.p1,GO:0005680
MSTRG.10149.1.p1,GO:0005515
MSTRG.10149.1.p1,GO:0030071
MSTRG.1015.1.p1,GO:0051920
MSTRG.10150.1.p1,GO:0003777
MSTRG.10150.1.p1,GO:0005524
MSTRG.10150.1.p1,GO:0008017
MSTRG.10150.1.p1,GO:0007018
MSTRG.10152.6.p1,GO:0000175
MSTRG.10152.6.p1,GO:0003676
MSTRG.10154.1.p1,GO:0004518
MSTRG.10155.5.p1,GO:0003677
MSTRG.10163.1.p1,GO:0003676
MSTRG.10163.1.p1,GO:0008270
MSTRG.10163.1.p1,GO:0015074
MSTRG.10164.1.p1,GO:0003676
MSTRG.10164.1.p1,GO:0008270
MSTRG.10165.14.p1,GO:0016021
MSTRG.10165.14.p1,GO:0005524
MSTRG.10165.14.p1,GO:0140359
MSTRG.10165.14.p1,GO:0055085
MSTRG.10167.1.p1,GO:0032040
MSTRG.10167.1.p1,GO:0005515
MSTRG.10167.1.p1,GO:0006364
MSTRG.10169.13.p1,GO:0003777
MSTRG.10169.13.p1,GO:0005524
MSTRG.10169.13.p1,GO:0008017
MSTRG.10169.13.p1,GO:0007018
MSTRG.1017.1.p1,GO:0035556
MSTRG.10170.5.p1,GO:0005515
MSTRG.10176.1.p1,GO:0003676
MSTRG.10176.1.p1,GO:0008270
MSTRG.10179.2.p1,GO:0004888
MSTRG.10179.2.p1,GO:0034220
MSTRG.10179.2.p1,GO:0016021
MSTRG.10179.2.p1,GO:0005230
MSTRG.10185.1.p1,GO:0007094
MSTRG.10186.1.p1,GO:0005515
MSTRG.10186.1.p1,GO:0007043
MSTRG.10186.1.p1,GO:0007163
MSTRG.10187.4.p1,GO:0035023
MSTRG.10187.4.p1,GO:0005515
MSTRG.10187.4.p1,GO:0005085
MSTRG.1019.1.p1,GO:0030127
MSTRG.1019.1.p1,GO:0008270
MSTRG.1019.1.p1,GO:0006886
MSTRG.1019.1.p1,GO:0006888
MSTRG.10197.2.p1,GO:0004672
MSTRG.10197.2.p1,GO:0005524
MSTRG.10197.2.p1,GO:0006468
MSTRG.10198.3.p1,GO:0015377
MSTRG.10198.3.p1,GO:0006811
MSTRG.10198.3.p1,GO:0055085
MSTRG.10198.3.p1,GO:0016021
MSTRG.10199.2.p1,GO:0004725
MSTRG.10199.2.p1,GO:0006470
MSTRG.10200.1.p1,GO:0005509
MSTRG.10201.11.p1,GO:0016887
MSTRG.10201.11.p1,GO:0005524
MSTRG.10201.11.p1,GO:0008270
MSTRG.10201.11.p1,GO:0006508
MSTRG.10201.11.p1,GO:0016021
MSTRG.10201.11.p1,GO:0004176
MSTRG.10201.11.p1,GO:0004222
MSTRG.10202.5.p1,GO:0004146
MSTRG.10202.5.p1,GO:0050661
MSTRG.10202.5.p1,GO:0006545
MSTRG.10202.5.p1,GO:0046654
MSTRG.10203.1.p1,GO:0003676
MSTRG.10203.1.p1,GO:0008408
MSTRG.10203.1.p1,GO:0006139
MSTRG.10205.1.p1,GO:0003824
MSTRG.1021.1.p1,GO:0005154
MSTRG.1021.1.p1,GO:0048018
MSTRG.1021.1.p1,GO:0007173
MSTRG.10218.1.p1,GO:0070063
MSTRG.10218.1.p1,GO:0003712
MSTRG.10226.1.p1,GO:0003676
MSTRG.10226.1.p1,GO:0008270
MSTRG.10236.1.p1,GO:0016021
MSTRG.1024.1.p1,GO:0046872
MSTRG.10243.3.p1,GO:0005515
MSTRG.1025.1.p1,GO:0003677
MSTRG.1025.1.p1,GO:0005515
MSTRG.1026.1.p1,GO:0003676
MSTRG.10268.1.p1,GO:0042981
MSTRG.1027.1.p1,GO:0005694
MSTRG.1027.1.p1,GO:0005515
MSTRG.1027.1.p1,GO:0005524
MSTRG.1027.1.p1,GO:0016887
MSTRG.1027.1.p1,GO:0051276
MSTRG.10276.1.p1,GO:0008083
MSTRG.10278.1.p1,GO:0003723
MSTRG.1028.1.p1,GO:0004672
MSTRG.1028.1.p1,GO:0005524
MSTRG.1028.1.p1,GO:0035091
MSTRG.1028.1.p1,GO:0006468
MSTRG.10280.10.p1,GO:0005515
MSTRG.10281.3.p1,GO:0003676
MSTRG.10281.3.p1,GO:0008270
MSTRG.10282.23.p1,GO:0003676
MSTRG.10282.23.p1,GO:0004523
MSTRG.10283.1.p1,GO:0016020
MSTRG.10283.1.p1,GO:0000030
MSTRG.10283.1.p1,GO:0006493
MSTRG.10285.4.p1,GO:0003676
MSTRG.10285.4.p1,GO:0004523
MSTRG.1030.1.p1,GO:0005515
MSTRG.10305.1.p1,GO:0004518
MSTRG.10323.1.p1,GO:0004672
MSTRG.10323.1.p1,GO:0005524
MSTRG.10323.1.p1,GO:0006468
MSTRG.10324.21.p1,GO:0005515
MSTRG.10324.21.p1,GO:0007165
MSTRG.10326.1.p1,GO:0005840
MSTRG.10326.1.p1,GO:0003735
MSTRG.10326.1.p1,GO:0006412
MSTRG.10327.3.p1,GO:0000347
MSTRG.10327.3.p1,GO:0006397
MSTRG.10327.3.p1,GO:0006406
MSTRG.10328.1.p1,GO:0005515
MSTRG.10329.1.p1,GO:0008474
MSTRG.10329.1.p1,GO:0002084
MSTRG.10330.1.p1,GO:0005840
MSTRG.10330.1.p1,GO:0003723
MSTRG.10330.1.p1,GO:0003735
MSTRG.10330.1.p1,GO:0006412
MSTRG.10331.1.p1,GO:0016020
MSTRG.10332.3.p1,GO:0006542
MSTRG.10332.3.p1,GO:0004356
MSTRG.10338.2.p1,GO:0005085
MSTRG.10338.2.p1,GO:0016192
MSTRG.10346.1.p1,GO:0005515
MSTRG.10346.1.p1,GO:0010997
MSTRG.10346.1.p1,GO:0097027
MSTRG.10346.1.p1,GO:1904668
MSTRG.1035.1.p1,GO:0005840
MSTRG.1035.1.p1,GO:0003735
MSTRG.1035.1.p1,GO:0005515
MSTRG.1035.1.p1,GO:0006412
MSTRG.10350.1.p1,GO:0004672
MSTRG.10350.1.p1,GO:0005524
MSTRG.10350.1.p1,GO:0006468
MSTRG.10352.1.p1,GO:0004518
MSTRG.10355.1.p1,GO:0003676
MSTRG.10355.1.p1,GO:0004190
MSTRG.10355.1.p1,GO:0006508
MSTRG.10355.1.p1,GO:0015074
MSTRG.10355.2.p1,GO:0003676
MSTRG.10355.2.p1,GO:0004190
MSTRG.10355.2.p1,GO:0006508
MSTRG.10355.2.p1,GO:0015074
MSTRG.10357.3.p1,GO:0016491
MSTRG.10357.3.p1,GO:0031177
MSTRG.10357.3.p1,GO:0009058
MSTRG.1036.6.p1,GO:0006364
MSTRG.1036.6.p1,GO:0106388
MSTRG.10366.5.p1,GO:0005509
MSTRG.10366.5.p1,GO:0015171
MSTRG.10366.5.p1,GO:0003333
MSTRG.10366.5.p1,GO:0005743
MSTRG.10367.1.p1,GO:0001507
MSTRG.10367.1.p1,GO:0003990
MSTRG.10368.2.p1,GO:0003676
MSTRG.10368.2.p1,GO:0008270
MSTRG.10368.2.p1,GO:0015074
MSTRG.1037.1.p1,GO:0003924
MSTRG.1037.1.p1,GO:0005525
MSTRG.10370.2.p1,GO:0008250
MSTRG.10370.2.p1,GO:0016021
MSTRG.1038.1.p1,GO:0019894
MSTRG.1038.1.p1,GO:0005871
MSTRG.1039.5.p1,GO:0004521
MSTRG.1039.5.p1,GO:0000469
MSTRG.1039.5.p1,GO:0042274
MSTRG.10391.1.p1,GO:0003676
MSTRG.10391.1.p1,GO:0015074
MSTRG.10394.1.p1,GO:0005524
MSTRG.10394.1.p1,GO:0004713
MSTRG.10394.1.p1,GO:0006468
MSTRG.10398.1.p1,GO:0003676
MSTRG.10398.1.p1,GO:0003724
MSTRG.10398.1.p1,GO:0005524
MSTRG.10399.1.p1,GO:0005840
MSTRG.10399.1.p1,GO:0003735
MSTRG.10399.1.p1,GO:0006412
MSTRG.1040.1.p1,GO:0005515
MSTRG.1040.1.p1,GO:0007165
MSTRG.1041.2.p1,GO:0003723
MSTRG.1041.2.p1,GO:0003743
MSTRG.1041.2.p1,GO:0006413
MSTRG.10414.1.p1,GO:0031177
MSTRG.10415.1.p1,GO:0016746
MSTRG.10417.1.p1,GO:0016020
MSTRG.10417.1.p1,GO:0008237
MSTRG.10417.1.p1,GO:0008241
MSTRG.10417.1.p1,GO:0006508
MSTRG.10418.1.p1,GO:0003677
MSTRG.10418.1.p1,GO:0005524
MSTRG.10418.1.p1,GO:0140664
MSTRG.10418.1.p1,GO:0006281
MSTRG.1042.3.p1,GO:0003676
MSTRG.10420.15.p1,GO:0005524
MSTRG.10420.15.p1,GO:0140658
MSTRG.1043.1.p1,GO:0005515
MSTRG.10431.1.p1,GO:0000166
MSTRG.10431.1.p1,GO:0003677
MSTRG.10431.1.p1,GO:0003887
MSTRG.10431.1.p1,GO:0006260
MSTRG.10438.1.p1,GO:0005634
MSTRG.10438.1.p1,GO:0006915
MSTRG.10440.1.p1,GO:0008083
MSTRG.10444.1.p1,GO:0035091
MSTRG.10444.1.p1,GO:0043130
MSTRG.10444.1.p1,GO:0006886
MSTRG.10444.1.p1,GO:0016192
MSTRG.10447.1.p1,GO:0003677
MSTRG.10449.2.p1,GO:0003676
MSTRG.10449.2.p1,GO:0015074
MSTRG.1045.2.p1,GO:0034597
MSTRG.1045.2.p1,GO:0046856
MSTRG.10452.1.p1,GO:0003676
MSTRG.10452.1.p1,GO:0015074
MSTRG.10453.1.p1,GO:0031931
MSTRG.10453.1.p1,GO:0031932
MSTRG.10453.1.p1,GO:0005515
MSTRG.10453.1.p1,GO:0031929
MSTRG.10456.1.p1,GO:0003676
MSTRG.10456.1.p1,GO:0004190
MSTRG.10456.1.p1,GO:0008270
MSTRG.10456.1.p1,GO:0006508
MSTRG.10459.1.p1,GO:0003676
MSTRG.1046.5.p1,GO:0005524
MSTRG.1046.5.p1,GO:0005737
MSTRG.1046.5.p1,GO:0004827
MSTRG.1046.5.p1,GO:0006433
MSTRG.1048.15.p1,GO:0003676
MSTRG.1048.15.p1,GO:0004386
MSTRG.1048.15.p1,GO:0005524
MSTRG.1049.1.p1,GO:0005515
MSTRG.10496.2.p1,GO:0005856
MSTRG.10496.2.p1,GO:0003779
MSTRG.10497.1.p1,GO:0005779
MSTRG.10497.1.p1,GO:0008022
MSTRG.10497.1.p1,GO:0008270
MSTRG.10497.1.p1,GO:0016558
MSTRG.10499.1.p1,GO:0015078
MSTRG.10499.1.p1,GO:0045263
MSTRG.10499.1.p1,GO:1902600
MSTRG.10499.1.p1,GO:0015986
MSTRG.105.7.p1,GO:0004560
MSTRG.105.7.p1,GO:0006004
MSTRG.10500.1.p1,GO:1990542
MSTRG.10502.5.p1,GO:0003824
MSTRG.10504.1.p1,GO:0000172
MSTRG.10504.1.p1,GO:0005655
MSTRG.10504.1.p1,GO:0001682
MSTRG.10519.1.p1,GO:0004803
MSTRG.10519.1.p1,GO:0006313
MSTRG.1052.1.p1,GO:0005515
MSTRG.1052.1.p1,GO:0030705
MSTRG.10521.1.p1,GO:0003678
MSTRG.10521.1.p1,GO:0000723
MSTRG.10521.1.p1,GO:0006281
MSTRG.10522.1.p1,GO:0003779
MSTRG.10522.1.p1,GO:0016192
MSTRG.10522.1.p1,GO:0045010
MSTRG.10526.1.p1,GO:0008194
MSTRG.10527.1.p1,GO:0016791
MSTRG.10528.1.p1,GO:0016020
MSTRG.10528.1.p1,GO:0003924
MSTRG.10528.1.p1,GO:0005525
MSTRG.10528.1.p1,GO:0007165
MSTRG.10529.1.p1,GO:0000145
MSTRG.10529.1.p1,GO:0006887
MSTRG.10530.2.p1,GO:0016811
MSTRG.10530.2.p1,GO:0006807
MSTRG.10531.1.p1,GO:0016020
MSTRG.10532.1.p1,GO:0005515
MSTRG.10532.1.p1,GO:0004725
MSTRG.10532.1.p1,GO:0006470
MSTRG.10536.16.p1,GO:0004672
MSTRG.10536.16.p1,GO:0005524
MSTRG.10536.16.p1,GO:0006468
MSTRG.10544.1.p1,GO:0030126
MSTRG.10544.1.p1,GO:0006890
MSTRG.10547.1.p1,GO:0005085
MSTRG.10547.1.p1,GO:0032012
MSTRG.10548.1.p1,GO:0004438
MSTRG.10553.1.p1,GO:0003995
MSTRG.10553.1.p1,GO:0050660
MSTRG.10555.1.p1,GO:0003677
MSTRG.10555.1.p1,GO:0003899
MSTRG.10555.1.p1,GO:0032549
MSTRG.10555.1.p1,GO:0006351
MSTRG.10556.1.p1,GO:0008478
MSTRG.10556.1.p1,GO:0009443
MSTRG.10557.1.p1,GO:0044528
MSTRG.10558.1.p1,GO:0016020
MSTRG.10558.1.p1,GO:0032981
MSTRG.10559.1.p1,GO:0009058
MSTRG.1056.1.p1,GO:0005765
MSTRG.1056.1.p1,GO:0015019
MSTRG.10560.4.p1,GO:0004803
MSTRG.10560.4.p1,GO:0006313
MSTRG.10561.1.p1,GO:0016788
MSTRG.10561.1.p1,GO:0006397
MSTRG.10563.1.p1,GO:0004843
MSTRG.10563.1.p1,GO:0016579
MSTRG.10567.1.p1,GO:0003824
MSTRG.10569.5.p1,GO:0005815
MSTRG.10569.5.p1,GO:0000226
MSTRG.1057.4.p1,GO:0006508
MSTRG.1057.4.p1,GO:0004197
MSTRG.10570.1.p1,GO:0003677
MSTRG.10571.1.p1,GO:0046872
MSTRG.10573.2.p1,GO:0008237
MSTRG.10573.2.p1,GO:0008270
MSTRG.10573.2.p1,GO:0006508
MSTRG.10589.1.p1,GO:0005524
MSTRG.10589.1.p1,GO:0004713
MSTRG.10589.1.p1,GO:0005515
MSTRG.10589.1.p1,GO:0006468
MSTRG.1059.1.p1,GO:0016787
MSTRG.1059.1.p1,GO:0006506
MSTRG.10591.1.p1,GO:0043565
MSTRG.10592.2.p1,GO:0005515
MSTRG.10593.5.p1,GO:0016021
MSTRG.10593.5.p1,GO:0016192
MSTRG.106.2.p1,GO:0005515
MSTRG.1060.1.p1,GO:0005515
MSTRG.1060.1.p1,GO:0007281
MSTRG.10604.2.p1,GO:0003824
MSTRG.1061.1.p1,GO:0030431
MSTRG.1061.1.p1,GO:0032222
MSTRG.1061.1.p1,GO:1903818
MSTRG.10612.3.p1,GO:0005839
MSTRG.10612.3.p1,GO:0010498
MSTRG.10617.1.p1,GO:0005524
MSTRG.10617.1.p1,GO:0016310
MSTRG.10617.1.p1,GO:0016301
MSTRG.10618.1.p1,GO:0000145
MSTRG.10618.1.p1,GO:0006893
MSTRG.10619.2.p1,GO:0016021
MSTRG.10619.2.p1,GO:0030246
MSTRG.10620.1.p1,GO:0016020
MSTRG.10620.1.p1,GO:0022857
MSTRG.10620.1.p1,GO:0055085
MSTRG.10622.1.p1,GO:0003723
MSTRG.10622.1.p1,GO:0008168
MSTRG.10622.1.p1,GO:0001510
MSTRG.10624.1.p1,GO:0070569
MSTRG.10625.1.p1,GO:0005634
MSTRG.10625.1.p1,GO:0004197
MSTRG.10625.1.p1,GO:0006508
MSTRG.10626.2.p1,GO:0005525
MSTRG.10626.2.p1,GO:0009298
MSTRG.10626.2.p1,GO:0004475
MSTRG.10628.2.p1,GO:0003746
MSTRG.10628.2.p1,GO:0005515
MSTRG.10628.2.p1,GO:0006414
MSTRG.10628.2.p1,GO:0006749
MSTRG.10629.1.p1,GO:0005840
MSTRG.10629.1.p1,GO:0003735
MSTRG.10629.1.p1,GO:0006412
MSTRG.10635.1.p1,GO:0140575
MSTRG.10640.1.p1,GO:0003700
MSTRG.10640.1.p1,GO:0043565
MSTRG.10640.1.p1,GO:0006355
MSTRG.10641.1.p1,GO:0004672
MSTRG.10641.1.p1,GO:0005524
MSTRG.10641.1.p1,GO:0006468
MSTRG.10642.6.p1,GO:0016021
MSTRG.10642.6.p1,GO:0005515
MSTRG.10646.3.p1,GO:0008242
MSTRG.10649.1.p1,GO:0005515
MSTRG.1065.1.p1,GO:0005515
MSTRG.10650.1.p1,GO:0005991
MSTRG.10650.1.p1,GO:0004555
MSTRG.10652.2.p1,GO:0051731
MSTRG.10652.2.p1,GO:0006396
MSTRG.10653.1.p1,GO:0008168
MSTRG.10654.1.p1,GO:0000700
MSTRG.10654.1.p1,GO:0003677
MSTRG.10654.1.p1,GO:0006285
MSTRG.10656.1.p1,GO:0005515
MSTRG.10656.1.p1,GO:0030234
MSTRG.10657.1.p1,GO:0005634
MSTRG.10657.1.p1,GO:0042555
MSTRG.10657.1.p1,GO:0003677
MSTRG.10657.1.p1,GO:0003678
MSTRG.10657.1.p1,GO:0005524
MSTRG.10657.1.p1,GO:0006270
MSTRG.10657.1.p1,GO:0032508
MSTRG.10661.1.p1,GO:0005509
MSTRG.10662.1.p1,GO:0016021
MSTRG.10662.1.p1,GO:0004930
MSTRG.10662.1.p1,GO:0007186
MSTRG.10663.2.p1,GO:0030286
MSTRG.10663.2.p1,GO:0008569
MSTRG.10663.2.p1,GO:0045505
MSTRG.10663.2.p1,GO:0051959
MSTRG.10663.2.p1,GO:0007018
MSTRG.10665.1.p1,GO:0006412
MSTRG.10669.1.p1,GO:0005515
MSTRG.1067.1.p1,GO:0016021
MSTRG.10674.2.p1,GO:0003676
MSTRG.10676.2.p1,GO:0070531
MSTRG.10676.2.p1,GO:0070552
MSTRG.10677.1.p1,GO:0016747
MSTRG.10680.2.p1,GO:0003677
MSTRG.10680.2.p1,GO:0000737
MSTRG.10680.2.p1,GO:0008821
MSTRG.10680.2.p1,GO:0006302
MSTRG.1069.11.p1,GO:0016021
MSTRG.1069.11.p1,GO:0008324
MSTRG.1069.11.p1,GO:0006812
MSTRG.1069.11.p1,GO:0055085
MSTRG.10693.2.p1,GO:0005634
MSTRG.10703.1.p1,GO:0003677
MSTRG.10706.1.p1,GO:0004518
MSTRG.10707.1.p1,GO:0005515
MSTRG.1071.1.p1,GO:0004672
MSTRG.1071.1.p1,GO:0005524
MSTRG.1071.1.p1,GO:0006468
MSTRG.10719.2.p1,GO:0036374
MSTRG.10719.2.p1,GO:0006751
MSTRG.10727.1.p1,GO:0004181
MSTRG.10727.1.p1,GO:0008270
MSTRG.10727.1.p1,GO:0006508
MSTRG.10728.11.p1,GO:0016021
MSTRG.10728.11.p1,GO:0008381
MSTRG.10732.1.p1,GO:0004185
MSTRG.10732.1.p1,GO:0006508
MSTRG.10733.1.p1,GO:0008474
MSTRG.10739.1.p1,GO:0005515
MSTRG.10743.7.p1,GO:0005515
MSTRG.10752.1.p1,GO:0005634
MSTRG.10753.12.p1,GO:0003723
MSTRG.10755.1.p1,GO:0016021
MSTRG.10755.1.p1,GO:0005524
MSTRG.10755.1.p1,GO:0140359
MSTRG.10755.1.p1,GO:0055085
MSTRG.10757.1.p1,GO:0003714
MSTRG.10757.1.p1,GO:0016616
MSTRG.10757.1.p1,GO:0051287
MSTRG.1076.3.p1,GO:0017196
MSTRG.1076.3.p1,GO:0004596
MSTRG.10761.1.p1,GO:0000276
MSTRG.10761.1.p1,GO:0015078
MSTRG.10761.1.p1,GO:0015986
MSTRG.10768.1.p1,GO:0005261
MSTRG.1077.1.p1,GO:0003676
MSTRG.1077.1.p1,GO:0003724
MSTRG.1077.1.p1,GO:0005524
MSTRG.10775.1.p1,GO:0006281
MSTRG.10775.1.p1,GO:0005524
MSTRG.10775.1.p1,GO:0003678
MSTRG.10775.1.p1,GO:0000723
MSTRG.10776.1.p1,GO:0046872
MSTRG.10776.1.p1,GO:0006627
MSTRG.10777.3.p1,GO:0042162
MSTRG.10777.3.p1,GO:0000723
MSTRG.10777.3.p1,GO:0043564
MSTRG.10777.3.p1,GO:0006303
MSTRG.10777.3.p1,GO:0003684
MSTRG.1078.1.p1,GO:0000956
MSTRG.1078.1.p1,GO:0000398
MSTRG.10793.7.p1,GO:0003779
MSTRG.10793.7.p1,GO:0016192
MSTRG.10793.7.p1,GO:0045010
MSTRG.10799.1.p1,GO:0004518
MSTRG.10806.1.p1,GO:0004518
MSTRG.10808.2.p1,GO:0016020
MSTRG.10808.2.p1,GO:0022857
MSTRG.10808.2.p1,GO:0055085
MSTRG.10810.1.p1,GO:0003676
MSTRG.10810.1.p1,GO:0015074
MSTRG.10812.1.p1,GO:0032511
MSTRG.10815.21.p1,GO:0003676
MSTRG.10815.21.p1,GO:0004497
MSTRG.10815.21.p1,GO:0005506
MSTRG.10815.21.p1,GO:0008270
MSTRG.10815.21.p1,GO:0016705
MSTRG.10815.21.p1,GO:0020037
MSTRG.1082.1.p1,GO:0008374
MSTRG.1082.1.p1,GO:0044255
MSTRG.10821.1.p1,GO:0016020
MSTRG.10821.1.p1,GO:0005515
MSTRG.10821.1.p1,GO:0055085
MSTRG.10822.1.p1,GO:0080019
MSTRG.10824.3.p1,GO:0005576
MSTRG.10824.3.p1,GO:0005515
MSTRG.10824.3.p1,GO:0008061
MSTRG.10824.3.p1,GO:0005975
MSTRG.10825.1.p1,GO:0005576
MSTRG.10825.1.p1,GO:0005515
MSTRG.10825.1.p1,GO:0008061
MSTRG.10825.1.p1,GO:0016810
MSTRG.10825.1.p1,GO:0005975
MSTRG.10826.1.p1,GO:0009190
MSTRG.10826.1.p1,GO:0035556
MSTRG.1083.1.p1,GO:0005524
MSTRG.1083.1.p1,GO:0006468
